taxon	location
H-13	VNM
H-44	THA
H-40	THA
H-178	THA
H-116	VNM
H-124	CHN
H-248	KHM
H-426	VNM
H-295	CHN
H-354	VNM
H-384	VNM
H-414	LAO
H-353	LAO
H-88	VNM
H-401	VNM
H-290	VNM
H-317	KHM
H-379	LAO
H-34	THA
H-139	VNM
H-188	KHM
H-441	CHN
H-136	VNM
H-425	VNM
H-446	VNM
H-12	VNM
H-101	VNM
H-76	CHN
H-156	VNM
H-56	THA
H-196	VNM
H-60	LAO
H-257	VNM
H-109	VNM
H-236	VNM
H-404	LAO
H-191	VNM
H-253	VNM
H-190	VNM
H-207	VNM
H-10	VNM
H-309	VNM
H-25	VNM
H-312	LAO
H-119	VNM
H-32	KHM
H-149	VNM
H-138	THA
H-479	LAO
H-360	CHN
H-394	THA
H-345	CHN
H-567	VNM
H-97	VNM
H-406	LAO
H-580	LAO
H-267	CHN
H-330	VNM
H-66	VNM
H-282	VNM
H-52	VNM
H-15	CHN
H-70	CHN
H-276	CHN
H-371	CHN
H-391	CHN
H-57	VNM
H-53	CHN
H-268	VNM
H-251	LAO
H-111	VNM
H-252	VNM
H-429	VNM
H-96	VNM
H-375	THA
H-240	CHN
H-33	VNM
H-135	CHN
H-185	VNM
H-202	VNM
H-8	VNM
H-221	VNM
H-324	VNM
H-467	LAO
H-92	LAO
H-362	LAO
H-291	LAO
H-380	LAO
H-75	THA
H-270	VNM
H-65	THA
H-398	KHM
H-144	KHM
H-397	KHM
H-127	KHM
H-365	KHM
H-107	VNM
H-201	KHM
H-298	VNM
H-147	THA
H-158	VNM
H-200	KHM
H-249	VNM
H-72	KHM
H-349	THA
H-382	VNM
H-122	CHN
H-287	KHM
H-305	VNM
H-332	VNM
H-308	VNM
H-453	VNM
H-1	KHM
H-35	VNM
H-46	VNM
H-41	KHM
H-176	VNM
H-433	VNM
H-277	LAO
H-320	VNM
H-413	LAO
H-409	VNM
H-281	KHM
H-339	KHM
H-237	VNM
H-304	VNM
H-195	THA
H-198	CHN
H-311	THA
H-340	THA
H-374	THA
H-223	THA
H-80	THA
H-321	THA
H-351	THA
H-241	THA
H-278	THA
H-306	CHN
H-336	THA
H-451	CHN
H-238	THA
H-333	THA
H-363	KHM
H-434	KHM
H-16	THA
H-100	VNM
H-358	VNM
H-348	VNM
H-411	KHM
H-14	VNM
H-84	VNM
H-378	VNM
H-183	VNM
H-255	VNM
H-51	VNM
H-64	VNM
H-164	CHN
H-264	VNM
H-59	CHN
H-194	CHN
H-129	VNM
H-440	KHM
H-153	VNM
H-50	KHM
H-266	KHM
H-128	KHM
H-393	VNM
H-174	VNM
H-206	THA
H-45	VNM
H-154	THA
H-143	VNM
H-359	VNM
H-387	VNM
H-573	VNM
H-55	VNM
H-280	CHN
H-338	KHM
H-121	VNM
H-157	CHN
H-242	CHN
H-81	KHM
H-346	KHM
H-376	KHM
H-49	CHN
H-275	CHN
H-335	CHN
H-370	CHN
H-37	VNM
H-123	VNM
H-104	VNM
H-313	CHN
H-344	VNM
H-220	VNM
H-94	VNM
H-347	KHM
H-381	THA
H-218	CHN
H-307	KHM
H-226	CHN
H-246	VNM
H-18	VNM
H-67	VNM
H-91	THA
H-140	VNM
H-215	CHN
H-180	CHN
H-232	CHN
H-219	VNM
H-118	VNM
H-126	VNM
H-133	VNM
