taxon	collection_date	decimal_date
H-13	2023-07-04	2023.50410958904
H-44	2023-07-17	2023.5397260274
H-40	2023-07-15	2023.53424657534
H-178	2023-07-30	2023.57534246575
H-116	2023-07-27	2023.56712328767
H-124	2023-07-30	2023.57534246575
H-248	2023-08-05	2023.59178082192
H-426	2023-08-10	2023.60547945205
H-295	2023-08-07	2023.59726027397
H-354	2023-08-09	2023.60273972603
H-384	2023-08-11	2023.60821917808
H-414	2023-08-11	2023.60821917808
H-353	2023-08-10	2023.60547945205
H-88	2023-07-25	2023.56164383562
H-401	2023-08-10	2023.60547945205
H-290	2023-08-05	2023.59178082192
H-317	2023-08-06	2023.59452054795
H-379	2023-08-10	2023.60547945205
H-34	2023-07-14	2023.53150684932
H-139	2023-07-31	2023.57808219178
H-188	2023-08-05	2023.59178082192
H-441	2023-08-10	2023.60547945205
H-136	2023-07-27	2023.56712328767
H-425	2023-08-11	2023.60821917808
H-446	2023-08-10	2023.60547945205
H-12	2023-07-03	2023.50136986301
H-101	2023-07-26	2023.56438356164
H-76	2023-07-24	2023.55890410959
H-156	2023-08-01	2023.58082191781
H-56	2023-07-24	2023.55890410959
H-196	2023-08-05	2023.59178082192
H-60	2023-07-19	2023.54520547945
H-257	2023-08-05	2023.59178082192
H-109	2023-07-26	2023.56438356164
H-236	2023-08-06	2023.59452054795
H-404	2023-08-11	2023.60821917808
H-191	2023-08-02	2023.58356164384
H-253	2023-08-05	2023.59178082192
H-190	2023-08-04	2023.58904109589
H-207	2023-08-02	2023.58356164384
H-10	2023-06-27	2023.48493150685
H-309	2023-08-09	2023.60273972603
H-25	2023-07-09	2023.51780821918
H-312	2023-08-09	2023.60273972603
H-119	2023-07-27	2023.56712328767
H-32	2023-07-15	2023.53424657534
H-149	2023-07-29	2023.57260273973
H-138	2023-07-31	2023.57808219178
H-479	2023-08-10	2023.60547945205
H-360	2023-08-09	2023.60273972603
H-394	2023-08-10	2023.60547945205
H-345	2023-08-10	2023.60547945205
H-567	2023-08-11	2023.60821917808
H-97	2023-07-25	2023.56164383562
H-406	2023-08-11	2023.60821917808
H-580	2023-08-11	2023.60821917808
H-267	2023-08-07	2023.59726027397
H-330	2023-08-09	2023.60273972603
H-66	2023-07-21	2023.55068493151
H-282	2023-08-06	2023.59452054795
H-52	2023-07-21	2023.55068493151
H-15	2023-07-03	2023.50136986301
H-70	2023-07-23	2023.55616438356
H-276	2023-08-07	2023.59726027397
H-371	2023-08-09	2023.60273972603
H-391	2023-08-11	2023.60821917808
H-57	2023-07-19	2023.54520547945
H-53	2023-07-18	2023.54246575342
H-268	2023-08-05	2023.59178082192
